history;Population;block;Individual;t;Treatment;Transplanting Date;Initial height(cm);Initial height;Flowering date;1cm bud date;Days to flowering;Days to achieve 1 cm bud;Total days;Total days1;Width (cm);Height (cm);vollum (cm3);N? buds;N? leaves;Bud biomass (mg);Roots biomass (mg);Aboveground biomass without leaves(mg);Aboveground biommas(mg);Total biomass(mg);Total.biomass1;root_shoot ratio;Stage;Flowering;Estmating the remain days;;flower sex;SLA LL(cm2/mg);SLA LM(cm2/mg);SLA LH(cm2/mg);SLA (cm2/mg);Fresh weight LL(mg);Turgid weight LL(mg);Dry weight LL(mg);Fresh weight LM(mg);Turgid weight LM(mg);Dry weight LM(mg);Fresh weight LH(mg);Turgid weight LH(mg);Dry weight LH(mg);RWC;Moisture (%);Leaves density;Relative growth rate;initial biomass_exp;initial biomass_linear;relative efficiency index 
MP;mg-23;na;2;elevated;elevated;20.01.2017;8.7;8.7;28.02.2017;21.03.2017;39;21;60;60;16.2;52.8;10877.61;15;113;3.4;3567.6;8480;8873.6;12444.6;12.4446;0.4;5;1;;;M;0.522;0.226;0.202;0.313;68.7;98.3;15.4;790.7;902.4;261.8;314.9;391;116.4;0.802;9.7;2.14;0.74;19.84940238;59.74389;0.72
MP;mn2-19;na;1;elevated;elevated;20.01.2017;7.5;7.5;01.03.2017;21.03.2017;40;20;60;60;16.8;55.5;12296.49;9;117;3.8;3067;8250;8504.2;11575;11.575;0.36;5;1;;;M;0.394;0.25;0.266;0.303;53.8;69.5;12;569;656.4;161.8;273;327.3;80.4;0.777;8.8;2.11;0.8;14.517597;41.87145;2.34
MP;mn2-19;na;2;ambient;ambient;20.01.2017;4.4;4.4;23.03.2017;10.04.2017;62;18;80;80;24.6;24.9;11828.76;19;119;3.8;3447.7;9950;10186.9;13638.4;13.6384;0.34;5;1;;;M;0.366;0.296;0.215;0.292;47.3;80.4;14.3;534.4;688.1;153.6;216.5;287.1;69;0.629;17.4;4.78;0.26;6.470560918;-4.29902;20.5
MP;mt-11;na;3;elevated;elevated;20.01.2017;8.8;8.8;02.03.2017;09.03.2017;41;7;48;48;15.7;57.3;11087.24;13;123;4.7;2192.5;6460;6618.4;8815.6;8.8156;0.33;5;1;;;M;0.386;0.303;0.218;0.406;69.3;89.5;14.9;27.8;41.2;7.1;423.5;510.3;136.4;0.725;9.85;2.15;1.01;20.37363372;61.23326;0.91
MP;mt-11;na;2;elevated;elevated;20.01.2017;9.1;9.1;09.03.2017;14.03.2017;48;5;53;53;19.3;42;12281;3;80;4.9;3082.8;6240;6547.1;9634.8;9.6348;0.47;5;1;;;M;0.466;0.217;0.194;0.302;84.7;97;13.8;619.2;727.4;181.5;319;416.4;111.8;0.701;8.6;1.9;0.62;22.03087107;65.70137;0.62
MP;mt-11;na;4;ambient;ambient;20.01.2017;6.4;6.4;28.02.2017;14.03.2017;39;14;53;53;16.1;58.7;11944.27;16;110;3.5;3099.4;7860;8059;11161.9;11.1619;0.38;5;1;;;M;0.515;0.412;0.291;0.349;87;109.4;14.3;533.1;665.8;111.1;246.9;340;73.6;0.767;21.45;1.87;0.99;10.89840883;25.48838;52.3
MP;mt-11;na;1;ambient;ambient;20.01.2017;8;8;15.03.2017;22.03.2017;54;7;61;61;18.5;56.2;15099.04;13;106;3.5;3334.9;8480;8772.6;12111;12.111;0.38;5;1;;;M;0.529;0.281;0.236;0.293;46.3;56.4;9.4;693.5;792.2;158.6;365.5;483.3;124.6;0.778;20.15;1.89;0.79;16.53864891;49.3183;48.2
MP;mt-11;na;1a;elevated;elevated;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;mt-11;na;2a;ambient;ambient;20.01.2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALUE!;#VALUE!;NA
MP;mt-12;na;1;ambient;ambient;20.01.2017;NA;2;15.03.2017;27.03.2017;54;12;66;66;20.7;61.8;20787.34;17;139;4.1;2568.2;9060;9360.6;11932.9;11.9329;0.27;5;1;;;M;0.361;0.198;0.159;0.239;42.7;58.7;10.9;572;717.6;187.2;271.3;339.8;102.5;0.701;30.45;2.25;0.91;3.461278398;-40.0439;59.8
